"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2005,Germany,Zimbabwe,Asylum-seekers,120
2005,Germany,Zimbabwe,"Refugees (incl. refugee-like situations)",28
2006,Germany,Afghanistan,Asylum-seekers,3999
2006,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",21879
2006,Germany,Afghanistan,Returnees,172
2006,Germany,Angola,Asylum-seekers,381
2006,Germany,Angola,"Refugees (incl. refugee-like situations)",2006
2006,Germany,Albania,Asylum-seekers,160
2006,Germany,Albania,"Refugees (incl. refugee-like situations)",963
2006,Germany,Andorra,"Refugees (incl. refugee-like situations)",4
2006,Germany,"United Arab Emirates","Refugees (incl. refugee-like situations)",233
2006,Germany,Argentina,"Refugees (incl. refugee-like situations)",28
2006,Germany,Armenia,Asylum-seekers,667
2006,Germany,Armenia,"Refugees (incl. refugee-like situations)",1874
2006,Germany,"Antigua and Barbuda","Refugees (incl. refugee-like situations)",1
2006,Germany,Australia,Asylum-seekers,2
2006,Germany,Australia,"Refugees (incl. refugee-like situations)",24
2006,Germany,Austria,"Refugees (incl. refugee-like situations)",25
2006,Germany,Azerbaijan,Asylum-seekers,1576
2006,Germany,Azerbaijan,"Refugees (incl. refugee-like situations)",3628
2006,Germany,Burundi,Asylum-seekers,34
2006,Germany,Burundi,"Refugees (incl. refugee-like situations)",134
2006,Germany,Belgium,"Refugees (incl. refugee-like situations)",9
2006,Germany,Benin,Asylum-seekers,32
2006,Germany,Benin,"Refugees (incl. refugee-like situations)",85
2006,Germany,"Burkina Faso",Asylum-seekers,58
2006,Germany,"Burkina Faso","Refugees (incl. refugee-like situations)",92
2006,Germany,Bangladesh,Asylum-seekers,183
2006,Germany,Bangladesh,"Refugees (incl. refugee-like situations)",385
2006,Germany,Bulgaria,Asylum-seekers,87
2006,Germany,Bulgaria,"Refugees (incl. refugee-like situations)",1169
2006,Germany,Bahrain,"Refugees (incl. refugee-like situations)",6
2006,Germany,Bahamas,"Refugees (incl. refugee-like situations)",4
2006,Germany,"Bosnia and Herzegovina",Asylum-seekers,567
2006,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",28098
2006,Germany,"Bosnia and Herzegovina",Returnees,193
2006,Germany,Belarus,Asylum-seekers,144
2006,Germany,Belarus,"Refugees (incl. refugee-like situations)",1525
2006,Germany,Belize,"Refugees (incl. refugee-like situations)",3
2006,Germany,"Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)",76
2006,Germany,Brazil,Asylum-seekers,3
2006,Germany,Brazil,"Refugees (incl. refugee-like situations)",135
2006,Germany,Barbados,"Refugees (incl. refugee-like situations)",11
2006,Germany,Bhutan,Asylum-seekers,23
2006,Germany,Bhutan,"Refugees (incl. refugee-like situations)",73
2006,Germany,Botswana,"Refugees (incl. refugee-like situations)",5
2006,Germany,"Central African Rep.",Asylum-seekers,3
2006,Germany,"Central African Rep.","Refugees (incl. refugee-like situations)",13
2006,Germany,Canada,"Refugees (incl. refugee-like situations)",57
2006,Germany,Switzerland,"Refugees (incl. refugee-like situations)",28
2006,Germany,Chile,"Refugees (incl. refugee-like situations)",331
2006,Germany,China,Asylum-seekers,677
2006,Germany,China,"Refugees (incl. refugee-like situations)",3577
2006,Germany,"Côte d'Ivoire",Asylum-seekers,183
2006,Germany,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",239
2006,Germany,Cameroon,Asylum-seekers,589
2006,Germany,Cameroon,"Refugees (incl. refugee-like situations)",761
2006,Germany,"Dem. Rep. of the Congo",Asylum-seekers,750
2006,Germany,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",3563
2006,Germany,Congo,Asylum-seekers,126
2006,Germany,Congo,"Refugees (incl. refugee-like situations)",446
2006,Germany,Colombia,Asylum-seekers,464
2006,Germany,Colombia,"Refugees (incl. refugee-like situations)",431
2006,Germany,Comoros,"Refugees (incl. refugee-like situations)",3
2006,Germany,"Cabo Verde","Refugees (incl. refugee-like situations)",18
2006,Germany,"Costa Rica","Refugees (incl. refugee-like situations)",31
2006,Germany,Cuba,Asylum-seekers,81
2006,Germany,Cuba,"Refugees (incl. refugee-like situations)",619
2006,Germany,"Czech Rep.",Asylum-seekers,43
2006,Germany,"Czech Rep.","Refugees (incl. refugee-like situations)",1605
2006,Germany,Germany,Stateless,10013
2006,Germany,Djibouti,"Refugees (incl. refugee-like situations)",5
2006,Germany,Dominica,"Refugees (incl. refugee-like situations)",9
2006,Germany,Denmark,"Refugees (incl. refugee-like situations)",5
2006,Germany,"Dominican Rep.","Refugees (incl. refugee-like situations)",56
2006,Germany,Algeria,Asylum-seekers,419
2006,Germany,Algeria,"Refugees (incl. refugee-like situations)",1249
2006,Germany,Ecuador,Asylum-seekers,7
2006,Germany,Ecuador,"Refugees (incl. refugee-like situations)",73
2006,Germany,Egypt,Asylum-seekers,65
2006,Germany,Egypt,"Refugees (incl. refugee-like situations)",618
2006,Germany,Eritrea,Asylum-seekers,860
2006,Germany,Eritrea,"Refugees (incl. refugee-like situations)",2276
2006,Germany,Spain,"Refugees (incl. refugee-like situations)",2431
2006,Germany,Estonia,"Refugees (incl. refugee-like situations)",172
2006,Germany,Ethiopia,Asylum-seekers,705
2006,Germany,Ethiopia,"Refugees (incl. refugee-like situations)",2739
2006,Germany,Finland,"Refugees (incl. refugee-like situations)",3
2006,Germany,Fiji,"Refugees (incl. refugee-like situations)",3
2006,Germany,France,Asylum-seekers,2
2006,Germany,France,"Refugees (incl. refugee-like situations)",23
2006,Germany,Gabon,Asylum-seekers,2
2006,Germany,Gabon,"Refugees (incl. refugee-like situations)",10
2006,Germany,"United Kingdom","Refugees (incl. refugee-like situations)",18
2006,Germany,Georgia,Asylum-seekers,326
2006,Germany,Georgia,"Refugees (incl. refugee-like situations)",1173
2006,Germany,Ghana,Asylum-seekers,305
2006,Germany,Ghana,"Refugees (incl. refugee-like situations)",1491
2006,Germany,Guinea,Asylum-seekers,300
2006,Germany,Guinea,"Refugees (incl. refugee-like situations)",260
2006,Germany,Gambia,Asylum-seekers,140
2006,Germany,Gambia,"Refugees (incl. refugee-like situations)",137
2006,Germany,Guinea-Bissau,Asylum-seekers,22
2006,Germany,Guinea-Bissau,"Refugees (incl. refugee-like situations)",17
2006,Germany,"Equatorial Guinea","Refugees (incl. refugee-like situations)",15
2006,Germany,Greece,"Refugees (incl. refugee-like situations)",52
2006,Germany,Grenada,"Refugees (incl. refugee-like situations)",2
2006,Germany,Guatemala,"Refugees (incl. refugee-like situations)",24
2006,Germany,Guyana,"Refugees (incl. refugee-like situations)",8
2006,Germany,Honduras,"Refugees (incl. refugee-like situations)",34
2006,Germany,Croatia,Asylum-seekers,32
2006,Germany,Croatia,"Refugees (incl. refugee-like situations)",1574
2006,Germany,Haiti,"Refugees (incl. refugee-like situations)",41
2006,Germany,Hungary,Asylum-seekers,15
2006,Germany,Hungary,"Refugees (incl. refugee-like situations)",2161
2006,Germany,Indonesia,Asylum-seekers,4
2006,Germany,Indonesia,"Refugees (incl. refugee-like situations)",460
2006,Germany,India,Asylum-seekers,548
2006,Germany,India,"Refugees (incl. refugee-like situations)",2041
2006,Germany,Ireland,"Refugees (incl. refugee-like situations)",1
2006,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,3924
2006,Germany,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",13213
2006,Germany,Iraq,Asylum-seekers,5228
2006,Germany,Iraq,"Refugees (incl. refugee-like situations)",36205
2006,Germany,Iceland,"Refugees (incl. refugee-like situations)",28
2006,Germany,Israel,Asylum-seekers,109
2006,Germany,Israel,"Refugees (incl. refugee-like situations)",199
2006,Germany,Italy,"Refugees (incl. refugee-like situations)",82
2006,Germany,Jamaica,"Refugees (incl. refugee-like situations)",76
2006,Germany,Jordan,Asylum-seekers,73
2006,Germany,Jordan,"Refugees (incl. refugee-like situations)",596
2006,Germany,Japan,"Refugees (incl. refugee-like situations)",146
2006,Germany,Kazakhstan,Asylum-seekers,30
2006,Germany,Kazakhstan,"Refugees (incl. refugee-like situations)",3800
2006,Germany,Kenya,Asylum-seekers,147
2006,Germany,Kenya,"Refugees (incl. refugee-like situations)",344
2006,Germany,Kyrgyzstan,Asylum-seekers,23
2006,Germany,Kyrgyzstan,"Refugees (incl. refugee-like situations)",868
2006,Germany,Cambodia,Asylum-seekers,26
2006,Germany,Cambodia,"Refugees (incl. refugee-like situations)",83
2006,Germany,Kiribati,"Refugees (incl. refugee-like situations)",8
2006,Germany,"Rep. of Korea",Asylum-seekers,1
2006,Germany,"Rep. of Korea","Refugees (incl. refugee-like situations)",1109
2006,Germany,Kuwait,"Refugees (incl. refugee-like situations)",114
2006,Germany,"Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)",151
2006,Germany,Lebanon,Asylum-seekers,960
2006,Germany,Lebanon,"Refugees (incl. refugee-like situations)",9336
2006,Germany,Liberia,Asylum-seekers,75
2006,Germany,Liberia,"Refugees (incl. refugee-like situations)",227
2006,Germany,Libya,Asylum-seekers,71
2006,Germany,Libya,"Refugees (incl. refugee-like situations)",339
2006,Germany,"Saint Lucia","Refugees (incl. refugee-like situations)",7
2006,Germany,"Sri Lanka",Asylum-seekers,446
2006,Germany,"Sri Lanka","Refugees (incl. refugee-like situations)",5832
2006,Germany,"Sri Lanka",Returnees,5
2006,Germany,Lesotho,Asylum-seekers,1
2006,Germany,Lesotho,"Refugees (incl. refugee-like situations)",5
2006,Germany,Lithuania,Asylum-seekers,1
2006,Germany,Lithuania,"Refugees (incl. refugee-like situations)",564
2006,Germany,Luxembourg,"Refugees (incl. refugee-like situations)",2
2006,Germany,Latvia,Asylum-seekers,8
2006,Germany,Latvia,"Refugees (incl. refugee-like situations)",537
2006,Germany,Morocco,Asylum-seekers,180
2006,Germany,Morocco,"Refugees (incl. refugee-like situations)",4187
2006,Germany,"Rep. of Moldova",Asylum-seekers,54
2006,Germany,"Rep. of Moldova","Refugees (incl. refugee-like situations)",2170
2006,Germany,Madagascar,"Refugees (incl. refugee-like situations)",23
2006,Germany,Maldives,"Refugees (incl. refugee-like situations)",2
2006,Germany,Mexico,Asylum-seekers,3
2006,Germany,Mexico,"Refugees (incl. refugee-like situations)",24
2006,Germany,"The former Yugoslav Republic of Macedonia",Asylum-seekers,253
2006,Germany,"The former Yugoslav Republic of Macedonia","Refugees (incl. refugee-like situations)",6014
2006,Germany,Mali,Asylum-seekers,19
2006,Germany,Mali,"Refugees (incl. refugee-like situations)",43
2006,Germany,Malta,"Refugees (incl. refugee-like situations)",20
2006,Germany,Myanmar,Asylum-seekers,123
2006,Germany,Myanmar,"Refugees (incl. refugee-like situations)",487
2006,Germany,Montenegro,Asylum-seekers,98
2006,Germany,Montenegro,"Refugees (incl. refugee-like situations)",131
2006,Germany,Mongolia,Asylum-seekers,45
2006,Germany,Mongolia,"Refugees (incl. refugee-like situations)",202
2006,Germany,Mozambique,Asylum-seekers,1
2006,Germany,Mozambique,"Refugees (incl. refugee-like situations)",194
2006,Germany,Mauritania,Asylum-seekers,2
2006,Germany,Mauritania,"Refugees (incl. refugee-like situations)",33
2006,Germany,Mauritius,"Refugees (incl. refugee-like situations)",50
2006,Germany,Malawi,Asylum-seekers,1
2006,Germany,Malawi,"Refugees (incl. refugee-like situations)",5
2006,Germany,Malaysia,"Refugees (incl. refugee-like situations)",192
2006,Germany,Namibia,"Refugees (incl. refugee-like situations)",21
2006,Germany,Niger,Asylum-seekers,47
2006,Germany,Niger,"Refugees (incl. refugee-like situations)",93
2006,Germany,Nigeria,Asylum-seekers,858
2006,Germany,Nigeria,"Refugees (incl. refugee-like situations)",1096
2006,Germany,Nicaragua,"Refugees (incl. refugee-like situations)",26
2006,Germany,Netherlands,"Refugees (incl. refugee-like situations)",26
2006,Germany,Norway,"Refugees (incl. refugee-like situations)",1
2006,Germany,Nepal,Asylum-seekers,149
2006,Germany,Nepal,"Refugees (incl. refugee-like situations)",225
2006,Germany,"New Zealand","Refugees (incl. refugee-like situations)",7
2006,Germany,Oman,"Refugees (incl. refugee-like situations)",26
2006,Germany,Pakistan,Asylum-seekers,974
2006,Germany,Pakistan,"Refugees (incl. refugee-like situations)",3580
2006,Germany,Panama,"Refugees (incl. refugee-like situations)",15
2006,Germany,Peru,Asylum-seekers,4
2006,Germany,Peru,"Refugees (incl. refugee-like situations)",466
2006,Germany,Philippines,"Refugees (incl. refugee-like situations)",134
2006,Germany,"Papua New Guinea","Refugees (incl. refugee-like situations)",1
2006,Germany,Poland,Asylum-seekers,13
2006,Germany,Poland,"Refugees (incl. refugee-like situations)",12182
2006,Germany,"Dem. People's Rep. of Korea",Asylum-seekers,23
2006,Germany,"Dem. People's Rep. of Korea","Refugees (incl. refugee-like situations)",239
2006,Germany,Portugal,"Refugees (incl. refugee-like situations)",7
2006,Germany,Paraguay,"Refugees (incl. refugee-like situations)",52
2006,Germany,Qatar,"Refugees (incl. refugee-like situations)",41
2006,Germany,Romania,Asylum-seekers,25
2006,Germany,Romania,"Refugees (incl. refugee-like situations)",3898
2006,Germany,"Russian Federation",Asylum-seekers,3521
2006,Germany,"Russian Federation","Refugees (incl. refugee-like situations)",25347
2006,Germany,Rwanda,Asylum-seekers,76
2006,Germany,Rwanda,"Refugees (incl. refugee-like situations)",174
2006,Germany,"Saudi Arabia","Refugees (incl. refugee-like situations)",410
2006,Germany,Sudan,Asylum-seekers,216
2006,Germany,Sudan,"Refugees (incl. refugee-like situations)",392
2006,Germany,Senegal,Asylum-seekers,24
2006,Germany,Senegal,"Refugees (incl. refugee-like situations)",122
2006,Germany,Singapore,"Refugees (incl. refugee-like situations)",63
2006,Germany,"Sierra Leone",Asylum-seekers,286
2006,Germany,"Sierra Leone","Refugees (incl. refugee-like situations)",356
2006,Germany,"El Salvador","Refugees (incl. refugee-like situations)",24
2006,Germany,Somalia,Asylum-seekers,269
2006,Germany,Somalia,"Refugees (incl. refugee-like situations)",2165
2006,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,7685
2006,Germany,"Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",75211
2006,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Returnees,2772
2006,Germany,"Sao Tome and Principe","Refugees (incl. refugee-like situations)",1
2006,Germany,Suriname,"Refugees (incl. refugee-like situations)",1
2006,Germany,Slovakia,Asylum-seekers,126
2006,Germany,Slovakia,"Refugees (incl. refugee-like situations)",459
2006,Germany,Slovenia,Asylum-seekers,1
2006,Germany,Slovenia,"Refugees (incl. refugee-like situations)",1734
2006,Germany,Sweden,"Refugees (incl. refugee-like situations)",5
2006,Germany,Swaziland,"Refugees (incl. refugee-like situations)",2
2006,Germany,Seychelles,"Refugees (incl. refugee-like situations)",12
2006,Germany,"Syrian Arab Rep.",Asylum-seekers,2117
2006,Germany,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",5845
2006,Germany,Chad,Asylum-seekers,13
2006,Germany,Chad,"Refugees (incl. refugee-like situations)",29
2006,Germany,Togo,Asylum-seekers,645
2006,Germany,Togo,"Refugees (incl. refugee-like situations)",3008
2006,Germany,Thailand,"Refugees (incl. refugee-like situations)",2868
2006,Germany,Tajikistan,Asylum-seekers,13
2006,Germany,Tajikistan,"Refugees (incl. refugee-like situations)",98
2006,Germany,Turkmenistan,Asylum-seekers,31
2006,Germany,Turkmenistan,"Refugees (incl. refugee-like situations)",182
2006,Germany,Tonga,"Refugees (incl. refugee-like situations)",4
2006,Germany,"Trinidad and Tobago","Refugees (incl. refugee-like situations)",28
2006,Germany,Tunisia,Asylum-seekers,129
2006,Germany,Tunisia,"Refugees (incl. refugee-like situations)",1207
2006,Germany,Turkey,Asylum-seekers,5765
2006,Germany,Turkey,"Refugees (incl. refugee-like situations)",175579
2006,Germany,Tuvalu,"Refugees (incl. refugee-like situations)",3
2006,Germany,"United Rep. of Tanzania",Asylum-seekers,1
2006,Germany,"United Rep. of Tanzania","Refugees (incl. refugee-like situations)",45
2006,Germany,Uganda,Asylum-seekers,100
2006,Germany,Uganda,"Refugees (incl. refugee-like situations)",173
2006,Germany,Ukraine,Asylum-seekers,126
2006,Germany,Ukraine,"Refugees (incl. refugee-like situations)",16446
2006,Germany,Uruguay,"Refugees (incl. refugee-like situations)",29
2006,Germany,"United States of America","Refugees (incl. refugee-like situations)",349
2006,Germany,Uzbekistan,Asylum-seekers,45
2006,Germany,Uzbekistan,"Refugees (incl. refugee-like situations)",1294
2006,Germany,"Venezuela (Bolivarian Republic of)",Asylum-seekers,5
2006,Germany,"Venezuela (Bolivarian Republic of)","Refugees (incl. refugee-like situations)",134
2006,Germany,"Viet Nam",Asylum-seekers,880
2006,Germany,"Viet Nam","Refugees (incl. refugee-like situations)",11678
2006,Germany,Samoa,"Refugees (incl. refugee-like situations)",3
2006,Germany,Stateless,Asylum-seekers,145
2006,Germany,Stateless,"Refugees (incl. refugee-like situations)",3430
2006,Germany,Various/Unknown,Asylum-seekers,1858
2006,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",72847
2006,Germany,Yemen,Asylum-seekers,86
2006,Germany,Yemen,"Refugees (incl. refugee-like situations)",161
2006,Germany,"South Africa",Asylum-seekers,4
2006,Germany,"South Africa","Refugees (incl. refugee-like situations)",270
2006,Germany,Zambia,Asylum-seekers,2
2006,Germany,Zambia,"Refugees (incl. refugee-like situations)",23
2006,Germany,Zimbabwe,Asylum-seekers,59
2006,Germany,Zimbabwe,"Refugees (incl. refugee-like situations)",37
2007,Germany,Afghanistan,Asylum-seekers,2223
2007,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",24236
2007,Germany,Afghanistan,Returnees,46
2007,Germany,Angola,Asylum-seekers,191
2007,Germany,Angola,"Refugees (incl. refugee-like situations)",2408
2007,Germany,Albania,Asylum-seekers,88
2007,Germany,Albania,"Refugees (incl. refugee-like situations)",1011
2007,Germany,Andorra,"Refugees (incl. refugee-like situations)",3
2007,Germany,"United Arab Emirates","Refugees (incl. refugee-like situations)",269
2007,Germany,Argentina,Asylum-seekers,3
2007,Germany,Argentina,"Refugees (incl. refugee-like situations)",145
